pm25,aqi,co2,temperature,humidity,recommended_mode
49.02,116.22,1600.0,23.76,67.88,fresh_air
68.39,173.95,687.07,19.98,60.97,recirculation
18.64,58.62,1098.7,28.83,66.14,fresh_air
130.78,230.36,1447.81,17.36,64.72,recirculation
43.73,111.1,1899.44,21.61,46.21,fresh_air
103.39,83.6,2191.8,21.54,44.04,fresh_air
36.04,63.6,1999.64,33.22,74.38,fresh_air
88.37,155.39,1745.09,21.05,47.69,fresh_air
67.89,112.17,1052.14,24.63,48.74,fresh_air
5.0,42.91,1506.81,21.5,64.1,fresh_air
75.32,188.25,1728.85,25.96,52.01,fresh_air
82.98,97.95,1296.48,27.37,71.08,fresh_air
55.64,66.3,748.15,22.62,31.51,recirculation
26.47,106.75,580.72,30.05,49.72,fresh_air
27.34,82.17,724.4,24.81,71.37,fresh_air
28.43,110.2,731.93,20.17,28.46,fresh_air
32.09,46.78,682.46,30.98,41.8,fresh_air
51.41,134.23,668.2,22.42,37.58,recirculation
14.33,20.0,789.54,21.17,19.27,fresh_air
93.84,194.16,786.39,22.21,62.22,recirculation
49.11,84.38,1600.0,18.62,42.2,fresh_air
111.0,169.46,1391.29,10.77,48.23,fresh_air
26.51,38.26,949.48,23.0,55.45,recirculation
18.42,66.7,710.01,27.14,58.5,recirculation
21.43,70.8,706.71,22.33,43.62,recirculation
10.86,73.8,420.0,18.55,39.3,recirculation
72.44,134.67,451.44,17.1,51.26,fresh_air
27.21,71.35,546.18,24.9,62.87,recirculation
134.1,184.56,907.76,24.31,49.29,recirculation
183.79,325.82,1139.81,21.62,40.17,recirculation
119.53,158.49,730.43,21.99,33.21,recirculation
114.58,169.07,1486.71,25.67,52.86,fresh_air
9.98,56.31,504.61,29.98,42.24,recirculation
77.71,177.71,791.29,20.65,49.0,recirculation
78.23,110.43,1139.7,24.38,46.66,fresh_air
12.68,60.79,743.81,28.12,43.78,recirculation
184.04,246.67,847.65,20.66,54.11,recirculation
29.37,64.37,1238.36,23.93,57.76,fresh_air
36.58,69.67,979.05,33.73,95.0,fresh_air
31.28,63.1,662.38,18.36,60.61,recirculation
5.0,61.85,901.32,31.93,56.33,fresh_air
15.85,52.68,644.84,24.14,38.54,recirculation
15.4,49.22,1778.3,26.39,27.59,fresh_air
51.27,105.05,993.99,18.9,49.8,fresh_air
30.07,121.05,504.54,24.04,62.01,recirculation
88.32,213.05,905.54,29.94,59.82,recirculation
23.51,45.89,829.43,32.93,66.96,fresh_air
41.3,86.87,1001.62,29.5,14.49,fresh_air
26.54,61.5,1076.15,18.94,67.54,fresh_air
25.3,66.46,984.14,25.94,54.7,fresh_air
33.06,63.48,1968.54,21.92,28.38,fresh_air
31.27,83.07,1102.67,25.22,60.13,fresh_air
232.48,261.36,633.0,20.68,52.37,recirculation
15.72,20.03,516.66,16.63,55.34,fresh_air
9.1,20.0,420.0,22.52,63.99,recirculation
36.09,73.29,841.76,27.11,56.02,recirculation
17.38,40.54,646.4,25.24,29.38,fresh_air
5.0,66.97,963.42,25.73,48.0,fresh_air
13.18,61.76,420.0,24.93,27.35,fresh_air
231.37,393.08,1056.36,25.74,59.09,recirculation
15.42,40.47,982.27,34.25,76.76,fresh_air
6.72,24.36,592.24,14.86,57.08,fresh_air
93.87,157.94,966.41,24.36,40.6,recirculation
12.79,56.66,715.17,31.5,37.65,fresh_air
130.74,263.15,851.47,24.61,43.65,recirculation
22.83,84.82,1014.74,24.18,55.77,fresh_air
77.9,154.01,1107.73,24.44,43.8,fresh_air
24.92,60.02,884.05,23.06,59.14,recirculation
58.82,162.96,648.36,22.13,64.92,recirculation
94.41,204.82,740.91,28.95,47.68,recirculation
74.95,93.73,1025.61,31.69,50.17,fresh_air
61.85,181.33,594.47,23.37,69.4,recirculation
132.88,189.91,1192.97,20.6,70.53,recirculation
32.61,55.53,759.67,24.46,71.74,fresh_air
30.52,31.24,833.13,26.51,47.79,recirculation
83.7,125.11,1177.88,23.09,39.47,fresh_air
83.15,153.78,420.0,15.36,36.22,fresh_air
260.0,383.05,1625.6,26.54,34.58,recirculation
121.01,160.5,1777.32,24.52,50.16,recirculation
34.88,120.02,1043.43,19.73,61.87,fresh_air
110.86,184.22,955.92,27.33,68.29,recirculation
39.9,108.88,1141.63,10.0,63.17,fresh_air
51.6,101.86,1014.94,28.5,49.46,fresh_air
12.64,30.46,1282.58,23.75,48.54,fresh_air
92.02,141.56,614.69,14.24,41.11,fresh_air
24.11,20.19,881.05,24.77,60.3,recirculation
24.8,88.39,924.42,22.25,55.08,recirculation
124.36,241.57,1989.71,21.61,51.99,recirculation
25.07,47.1,813.16,20.83,55.02,recirculation
91.17,143.79,1212.66,23.45,58.62,fresh_air
6.72,26.01,969.9,21.91,58.48,fresh_air
77.85,193.4,982.42,16.02,38.26,fresh_air
49.81,149.54,912.21,29.47,62.55,recirculation
101.07,109.04,1360.9,22.95,53.58,fresh_air
23.39,53.02,2079.87,20.85,43.92,fresh_air
42.4,73.64,697.66,10.31,61.17,fresh_air
59.04,144.04,1193.17,27.31,54.82,fresh_air
192.27,297.77,1835.06,18.42,65.14,recirculation
192.78,230.0,1780.78,24.58,35.35,recirculation
30.79,74.87,1180.68,21.49,68.55,fresh_air
53.39,104.55,783.81,21.74,50.32,recirculation
47.58,135.94,1734.54,19.25,42.91,fresh_air
30.87,84.5,1778.05,21.33,42.49,fresh_air
46.74,115.53,631.91,24.04,35.98,recirculation
102.19,122.37,762.72,25.01,25.63,fresh_air
28.18,67.38,1154.52,20.62,59.48,fresh_air
20.44,96.46,1100.0,23.61,77.73,fresh_air
43.79,123.34,584.91,27.82,27.35,fresh_air
13.75,20.0,823.79,16.85,36.69,fresh_air
11.49,32.42,912.92,23.97,60.52,recirculation
36.0,58.78,728.02,19.91,49.36,recirculation
43.06,129.73,1473.03,19.47,61.68,fresh_air
35.83,87.39,920.75,25.12,48.58,recirculation
38.33,71.64,843.93,21.66,41.87,recirculation
42.61,95.38,1169.62,18.77,46.84,fresh_air
191.53,255.9,765.04,29.69,16.65,recirculation
49.34,85.11,1619.7,27.96,33.99,fresh_air
48.44,105.91,426.39,15.69,63.28,fresh_air
149.29,296.27,1308.33,17.66,66.69,recirculation
140.0,251.48,1132.76,26.55,69.69,recirculation
26.67,58.39,1268.25,22.78,56.17,fresh_air
37.63,105.92,1834.93,30.45,18.42,fresh_air
86.85,88.76,628.65,26.65,41.11,recirculation
138.25,191.65,1628.68,25.29,68.55,recirculation
16.13,48.35,1279.45,21.61,93.74,fresh_air
140.0,240.68,790.17,26.11,69.08,recirculation
63.88,128.38,1087.87,18.51,46.69,fresh_air
49.2,103.14,718.53,29.61,31.71,recirculation
102.53,219.66,420.0,25.82,49.43,recirculation
5.08,20.0,521.72,20.45,50.21,recirculation
64.23,134.82,862.59,27.46,71.92,fresh_air
63.25,122.73,420.0,33.64,53.19,fresh_air
11.13,35.26,782.74,23.06,50.23,recirculation
16.5,64.66,498.05,26.37,51.03,recirculation
111.56,188.77,1788.88,22.14,55.6,fresh_air
30.54,58.0,1422.94,24.37,58.77,fresh_air
190.64,304.61,584.87,17.52,39.86,recirculation
32.26,105.87,926.76,24.0,35.19,recirculation
34.18,62.9,610.3,24.19,69.19,recirculation
84.17,135.03,779.58,31.74,27.03,fresh_air
33.49,74.42,1328.9,16.28,72.93,fresh_air
22.41,57.08,738.66,22.79,23.25,fresh_air
24.56,29.6,785.63,29.54,41.82,recirculation
112.24,195.58,614.94,22.96,63.61,recirculation
10.68,21.73,1158.01,23.26,50.0,fresh_air
5.0,47.52,420.0,12.29,17.74,fresh_air
46.7,89.64,744.87,19.99,55.97,recirculation
33.51,65.81,848.07,16.15,50.94,fresh_air
63.84,157.17,688.12,21.29,46.98,recirculation
16.83,68.17,1084.52,19.75,41.27,fresh_air
212.65,316.04,1172.53,24.51,49.52,recirculation
31.31,89.58,492.87,20.61,41.85,recirculation
126.12,105.89,1970.94,21.94,84.08,recirculation
15.28,45.33,489.95,22.06,46.64,recirculation
48.16,91.45,1195.04,23.79,44.77,fresh_air
192.02,322.41,898.96,21.73,42.42,recirculation
13.43,28.31,729.04,19.43,74.88,fresh_air
69.2,194.53,1596.38,24.37,27.05,fresh_air
51.63,104.61,851.29,28.59,55.03,recirculation
198.03,265.76,2087.31,24.55,46.65,fresh_air
164.99,233.0,620.76,21.38,30.07,recirculation
25.92,65.13,799.18,23.47,38.53,recirculation
104.46,150.72,1133.89,15.18,54.44,fresh_air
220.3,236.83,544.09,13.89,20.99,recirculation
122.91,204.09,647.5,22.28,53.63,recirculation
57.11,107.54,561.01,19.99,74.21,fresh_air
26.97,64.03,750.76,20.77,52.39,recirculation
86.52,173.94,1371.2,22.24,29.65,fresh_air
110.63,167.12,891.38,28.27,38.14,recirculation
55.95,116.71,2073.11,28.7,46.0,fresh_air
36.48,119.83,420.0,20.01,45.07,recirculation
58.44,132.99,982.03,21.77,52.13,fresh_air
8.02,27.68,861.67,21.88,54.37,recirculation
12.56,37.19,1072.07,27.48,74.23,fresh_air
24.09,35.03,1046.28,24.63,49.95,fresh_air
56.85,99.59,2057.67,24.4,33.87,fresh_air
36.81,73.64,1600.0,33.27,40.18,fresh_air
24.24,84.36,666.54,21.44,67.68,recirculation
43.32,95.32,1925.33,29.86,53.25,fresh_air
55.58,108.35,420.0,23.99,46.55,recirculation
29.59,95.79,1061.97,20.32,58.72,fresh_air
34.05,110.32,1665.48,23.01,47.04,fresh_air
31.29,99.44,733.36,23.55,10.0,fresh_air
28.37,52.0,799.54,22.17,57.89,recirculation
16.69,38.14,818.61,28.08,62.49,recirculation
15.75,82.62,1197.3,21.31,70.18,fresh_air
127.67,160.06,1700.71,20.71,39.77,recirculation
56.22,113.84,1177.17,26.84,53.17,fresh_air
101.58,187.66,1210.93,20.24,53.47,fresh_air
23.83,81.04,1951.19,27.54,51.2,fresh_air
6.19,20.0,1035.07,25.51,51.61,fresh_air
5.15,31.66,619.46,23.84,67.29,recirculation
65.03,153.59,532.19,23.69,52.96,recirculation
17.51,26.31,843.55,21.64,60.37,recirculation
182.72,253.86,1070.0,25.5,67.08,recirculation
19.82,31.38,440.93,32.12,39.41,fresh_air
8.26,20.0,672.57,22.41,47.59,recirculation
31.46,63.36,1008.89,26.3,44.08,fresh_air
47.81,113.6,870.85,24.11,42.08,recirculation
103.16,147.23,1228.23,24.1,27.38,fresh_air
50.76,96.41,493.04,23.29,50.34,recirculation
64.93,107.62,1471.56,20.31,56.71,fresh_air
64.11,110.45,460.12,25.44,47.83,recirculation
66.37,146.04,420.0,22.76,49.87,recirculation
68.1,163.22,844.68,20.11,55.86,recirculation
34.82,79.08,565.04,28.36,69.76,recirculation
84.97,87.03,849.92,24.43,44.12,recirculation
156.69,241.14,840.83,23.02,33.6,recirculation
8.22,20.0,809.1,29.76,48.73,recirculation
20.13,64.97,640.97,19.52,93.66,fresh_air
88.32,129.04,1244.66,22.09,27.75,fresh_air
7.25,28.6,777.49,20.22,59.1,recirculation
140.0,288.74,1821.47,24.91,66.21,recirculation
68.25,154.01,1256.63,21.47,16.88,fresh_air
177.59,230.0,609.19,20.03,55.74,recirculation
93.95,238.54,1592.83,23.24,46.2,recirculation
37.66,42.68,815.25,31.98,46.26,fresh_air
87.46,178.89,530.01,23.05,40.95,recirculation
27.79,119.47,1997.59,25.44,41.73,fresh_air
17.04,61.12,1933.83,24.25,45.4,fresh_air
208.76,230.0,420.0,31.44,45.77,recirculation
48.96,125.4,1227.17,14.91,43.13,fresh_air
28.1,42.97,901.53,25.62,45.18,recirculation
54.13,117.52,848.6,20.87,66.67,recirculation
50.83,90.38,1819.03,13.87,33.0,fresh_air
26.45,67.1,1058.74,22.45,25.51,fresh_air
41.56,75.65,859.24,31.95,66.89,fresh_air
9.24,23.7,681.61,21.18,47.31,recirculation
34.9,110.54,911.95,27.4,44.56,recirculation
33.34,80.08,422.48,29.15,48.44,recirculation
260.0,272.3,638.81,23.95,52.93,recirculation
24.8,39.73,568.75,24.52,42.66,recirculation
87.11,128.87,1619.85,16.62,57.08,fresh_air
90.03,142.82,1401.2,20.92,36.53,fresh_air
11.92,41.69,1132.73,27.9,45.77,fresh_air
90.45,136.51,620.8,24.26,18.99,fresh_air
70.1,80.18,1009.41,31.96,85.58,fresh_air
81.42,195.97,830.39,24.57,47.53,recirculation
21.92,43.11,614.81,33.43,59.38,fresh_air
10.83,32.74,960.18,22.15,56.67,fresh_air
20.41,33.14,2183.96,30.9,57.7,fresh_air
34.45,99.83,696.43,24.57,49.89,recirculation
103.81,231.99,1961.35,31.29,55.44,recirculation
116.56,188.6,826.32,18.73,36.54,recirculation
70.87,134.8,1216.23,24.79,33.6,fresh_air
47.06,128.01,752.73,22.31,48.58,recirculation
7.26,20.0,520.71,24.6,40.48,recirculation
13.51,53.64,879.44,29.26,69.96,recirculation
9.46,59.46,651.29,25.63,55.25,recirculation
95.55,145.04,2168.88,29.25,39.97,fresh_air
45.76,111.38,797.42,21.12,46.2,recirculation
19.01,87.43,1050.85,20.46,51.86,fresh_air
21.66,95.95,908.26,24.07,49.05,recirculation
35.05,79.85,721.9,23.83,53.8,recirculation
73.33,219.76,1121.72,23.2,50.96,recirculation
22.12,39.42,1025.31,19.88,30.53,fresh_air
13.43,61.72,420.0,29.15,19.89,fresh_air
146.69,245.62,1497.74,22.44,44.77,recirculation
62.33,72.95,420.0,30.13,57.85,fresh_air
23.8,62.89,491.99,24.05,44.93,recirculation
75.38,103.24,726.29,26.79,67.31,recirculation
42.33,99.79,1424.23,26.4,49.34,fresh_air
8.83,85.18,1769.63,20.46,69.0,fresh_air
90.67,178.77,1043.69,25.58,66.13,recirculation
79.99,132.9,952.7,32.29,64.72,fresh_air
94.68,167.07,420.0,25.08,33.15,recirculation
10.94,42.48,900.76,27.88,50.24,recirculation
74.26,155.26,717.2,26.98,67.12,recirculation
82.45,169.7,647.67,36.14,41.16,fresh_air
139.28,254.85,900.25,24.8,57.76,recirculation
42.52,58.86,1509.8,26.35,30.57,fresh_air
15.52,20.0,1086.02,27.28,76.86,fresh_air
60.14,89.54,420.0,18.19,38.92,recirculation
7.21,38.56,1319.73,25.06,22.08,fresh_air
15.1,20.0,631.43,27.07,36.37,recirculation
27.9,93.33,753.49,22.32,15.74,fresh_air
7.81,32.66,939.2,29.57,34.81,recirculation
20.37,49.79,1061.16,14.71,95.0,fresh_air
47.65,86.9,902.7,18.0,44.68,recirculation
17.59,62.1,804.79,27.42,30.01,recirculation
133.65,199.98,1493.34,29.13,23.21,recirculation
207.65,297.45,1343.32,15.71,37.43,recirculation
37.72,109.67,819.82,34.13,49.15,fresh_air
191.88,252.26,1955.0,24.68,37.55,recirculation
123.45,207.48,1579.8,26.03,53.79,recirculation
21.74,69.96,787.67,22.1,33.94,recirculation
47.81,104.24,1338.1,18.05,86.39,fresh_air
21.37,64.12,1273.36,18.9,57.05,fresh_air
144.69,231.43,967.96,22.83,47.96,recirculation
119.99,228.45,760.49,18.53,45.9,recirculation
16.07,35.33,897.92,25.32,42.25,recirculation
5.0,58.12,593.03,22.01,39.35,recirculation
14.94,41.11,1826.76,24.8,38.96,fresh_air
57.06,136.85,776.78,17.5,49.37,fresh_air
13.55,57.07,535.83,25.66,42.26,recirculation
140.0,230.0,960.71,26.15,20.19,recirculation
15.0,28.18,1883.38,22.52,33.68,fresh_air
25.34,85.12,767.58,24.79,62.99,recirculation
29.2,107.49,1473.49,25.01,46.47,fresh_air
166.72,205.62,2213.22,13.56,48.12,fresh_air
25.53,64.65,687.72,26.78,66.38,recirculation
8.24,22.36,914.37,24.64,39.12,recirculation
79.79,104.37,1080.91,19.86,35.78,fresh_air
27.62,101.95,1057.42,18.47,40.65,fresh_air
5.0,20.0,1627.0,22.64,58.06,fresh_air
14.84,25.88,682.73,10.54,55.69,fresh_air
35.35,113.85,1192.53,27.2,46.62,fresh_air
12.31,52.65,1052.81,17.96,61.48,fresh_air
39.13,130.84,810.74,20.01,60.47,recirculation
41.56,83.81,792.28,26.3,47.68,recirculation
35.25,83.98,907.03,21.29,43.4,recirculation
47.46,90.22,1088.14,20.01,72.39,fresh_air
7.77,34.86,1512.27,27.9,58.25,fresh_air
53.74,79.26,2054.37,28.08,44.52,fresh_air
13.66,56.3,814.71,29.1,27.95,fresh_air
31.45,81.08,1375.13,21.16,33.73,fresh_air
80.51,161.77,1516.12,23.0,51.62,fresh_air
171.13,295.37,1086.02,30.26,37.53,recirculation
111.38,156.66,1000.37,16.71,65.35,fresh_air
13.73,57.27,931.07,24.72,54.73,recirculation
118.04,169.97,888.26,21.73,49.21,recirculation
14.87,55.0,1093.32,22.14,66.85,fresh_air
43.84,138.4,1046.85,26.58,67.63,fresh_air
193.14,292.68,1582.07,29.09,57.45,recirculation
46.45,71.51,679.62,25.71,69.25,recirculation
57.93,137.53,1311.06,31.72,50.12,fresh_air
31.13,82.47,1539.17,20.97,59.66,fresh_air
10.85,36.12,1256.78,16.1,64.06,fresh_air
77.91,130.26,1556.48,27.07,64.27,fresh_air
34.75,88.26,459.85,20.68,62.82,recirculation
29.7,71.27,1109.21,22.82,58.84,fresh_air
77.83,143.51,635.71,16.39,77.4,fresh_air
30.66,68.13,2156.53,20.13,42.44,fresh_air
28.48,92.62,1527.83,17.54,47.83,fresh_air
80.51,137.57,609.78,22.13,47.0,recirculation
29.69,50.88,671.79,22.3,44.85,recirculation
30.34,87.05,855.45,24.39,22.16,fresh_air
12.95,62.99,639.72,29.33,69.25,recirculation
17.14,29.71,1089.85,26.91,35.64,fresh_air
40.65,91.65,721.02,24.88,84.14,fresh_air
6.51,20.0,1030.04,26.61,30.09,fresh_air
53.57,110.8,1736.9,24.48,58.69,fresh_air
54.45,132.75,420.0,23.58,39.0,recirculation
59.5,94.21,800.46,23.9,34.1,recirculation
36.74,79.15,452.19,33.85,38.7,fresh_air
62.53,107.95,1254.75,21.02,40.19,fresh_air
140.0,240.73,462.25,23.22,41.96,recirculation
59.26,180.36,1690.76,29.09,52.41,fresh_air
199.32,252.25,967.54,20.97,61.2,recirculation
34.7,60.41,707.55,19.57,38.54,recirculation
149.87,207.32,883.11,23.73,36.12,recirculation
84.53,180.99,1915.19,19.14,50.33,fresh_air
35.14,60.98,599.58,16.59,57.55,fresh_air
110.84,175.33,808.97,22.52,70.48,fresh_air
12.07,36.88,1613.4,30.23,35.0,fresh_air
5.98,66.59,1044.68,31.96,18.08,fresh_air
56.08,111.25,1250.9,24.77,66.46,fresh_air
60.19,125.63,645.03,14.84,77.62,fresh_air
91.35,147.94,775.28,25.88,36.1,recirculation
33.44,70.53,1472.6,24.4,39.66,fresh_air
17.05,52.79,1054.73,21.14,55.34,fresh_air
23.53,59.38,556.24,24.77,41.91,recirculation
82.04,195.39,1384.71,24.73,39.37,fresh_air
84.69,189.74,662.61,19.44,53.42,recirculation
78.84,137.24,1528.72,25.43,71.69,fresh_air
140.0,230.0,1047.4,29.15,31.67,recirculation
145.75,275.1,522.48,23.02,70.98,recirculation
85.17,121.0,1170.4,20.27,41.95,recirculation
22.94,63.23,607.66,23.24,54.84,recirculation
110.94,197.33,752.29,27.67,72.27,fresh_air
113.77,171.62,1248.48,18.73,54.55,fresh_air
36.56,90.62,1040.84,26.49,45.84,fresh_air
57.58,93.19,1204.9,21.08,60.05,fresh_air
28.34,87.02,627.61,25.04,47.58,recirculation
98.37,161.05,1300.41,21.57,57.3,fresh_air
79.98,98.33,1118.14,21.56,47.13,fresh_air
19.44,81.38,915.87,40.0,72.9,fresh_air
35.27,93.66,834.08,17.94,30.48,fresh_air
46.04,104.22,487.41,26.09,35.81,recirculation
5.78,53.19,1378.26,31.44,30.28,fresh_air
191.74,241.7,527.61,26.95,49.21,recirculation
27.49,68.14,1199.78,18.28,28.59,fresh_air
34.11,113.82,1932.01,24.41,59.28,fresh_air
12.63,73.17,635.98,29.01,60.1,recirculation
48.2,127.08,1315.96,24.68,70.72,fresh_air
61.17,119.03,645.42,24.97,36.13,recirculation
15.98,76.04,629.68,18.53,31.99,recirculation
22.17,73.92,1770.03,20.25,53.48,fresh_air
78.46,109.68,785.24,20.51,73.62,fresh_air
18.12,44.17,2322.84,23.22,48.38,fresh_air
119.18,216.46,1694.48,32.53,49.46,fresh_air
37.77,85.55,1200.46,28.18,82.8,fresh_air
140.0,309.76,1034.55,19.8,62.3,recirculation
18.89,54.58,750.11,19.13,55.96,recirculation
25.27,68.8,1015.43,26.73,41.85,fresh_air
30.86,66.03,769.3,23.82,56.38,recirculation
17.07,66.8,1283.87,20.15,30.95,fresh_air
67.85,194.49,1954.83,22.44,41.27,fresh_air
53.32,133.38,928.21,20.6,70.04,fresh_air
128.88,195.56,1490.37,25.27,68.23,recirculation
124.29,192.34,1312.47,35.54,56.12,recirculation
88.16,190.31,991.8,26.37,22.99,fresh_air
31.86,50.64,1337.95,23.6,33.08,fresh_air
76.79,163.04,811.6,21.14,40.49,recirculation
26.27,68.21,494.4,18.22,47.6,recirculation
25.15,115.14,664.43,27.15,32.49,recirculation
29.58,100.4,430.79,26.92,46.55,recirculation
58.66,137.82,1029.95,22.0,74.74,fresh_air
140.0,239.53,590.04,29.22,55.61,recirculation
12.19,43.22,903.85,24.09,53.06,recirculation
51.97,91.47,1154.9,27.33,35.75,fresh_air
33.81,44.07,685.28,25.27,27.05,fresh_air
40.15,72.83,1675.28,29.65,51.5,fresh_air
35.5,80.95,521.12,19.89,26.49,fresh_air
36.54,41.66,759.03,23.37,51.05,recirculation
37.61,74.82,1529.25,27.62,55.37,fresh_air
67.53,82.48,1551.41,21.82,36.49,fresh_air
39.84,85.4,791.17,25.89,52.07,recirculation
39.86,65.99,1312.54,29.18,47.35,fresh_air
20.97,48.92,848.92,27.35,77.41,fresh_air
188.56,230.0,893.81,25.35,60.79,recirculation
159.74,282.0,1949.47,18.83,47.55,recirculation
13.88,31.78,997.82,23.04,60.33,fresh_air
64.78,113.85,612.1,28.01,68.93,recirculation
24.74,61.96,934.06,18.59,21.9,fresh_air
51.51,95.37,956.25,19.39,70.75,fresh_air
24.27,46.31,556.15,23.7,42.38,recirculation
34.05,99.51,1049.54,33.17,42.51,fresh_air
13.91,34.65,856.29,21.11,45.03,recirculation
56.81,98.36,420.0,26.13,54.48,recirculation
9.53,34.28,888.47,25.12,34.44,recirculation
39.5,91.46,421.86,21.47,46.01,recirculation
34.19,40.09,1040.27,24.69,57.35,fresh_air
37.42,84.54,795.33,14.35,64.75,fresh_air
74.87,92.71,2053.63,22.46,55.33,fresh_air
65.66,120.47,1138.54,16.86,45.46,fresh_air
50.0,152.6,584.22,23.89,59.71,recirculation
206.47,315.05,420.0,27.87,64.79,recirculation
27.37,96.25,663.67,24.25,63.95,recirculation
130.16,228.28,542.47,24.69,23.99,recirculation
169.73,230.0,1334.69,26.5,63.14,recirculation
28.32,72.24,857.32,23.74,62.19,recirculation
89.81,126.35,1102.69,21.3,87.47,fresh_air
78.27,155.44,785.89,21.91,67.05,recirculation
44.62,100.48,1285.05,17.68,48.76,fresh_air
46.88,89.44,851.52,13.98,62.5,fresh_air
11.3,46.31,1147.7,24.63,46.34,fresh_air
20.71,42.24,941.02,31.38,45.36,fresh_air
13.38,28.35,585.09,26.27,57.16,recirculation
30.5,81.17,1281.85,20.28,40.2,fresh_air
23.35,57.28,783.87,17.81,66.69,fresh_air
100.11,120.45,741.56,23.11,30.55,recirculation
38.24,57.72,420.0,27.49,27.14,fresh_air
25.0,71.21,1024.94,23.05,48.11,fresh_air
74.21,138.17,1375.8,26.33,38.2,fresh_air
193.76,276.71,1390.62,17.47,47.88,recirculation
20.72,59.67,755.27,27.08,41.08,recirculation
20.29,75.84,710.44,17.13,39.34,fresh_air
111.26,182.17,763.91,30.9,50.14,fresh_air
48.22,126.23,980.42,19.22,41.31,fresh_air
59.74,139.1,1026.17,27.41,42.45,fresh_air
241.86,321.84,799.93,22.83,49.93,recirculation
16.92,70.45,1106.72,23.5,64.2,fresh_air
20.15,72.65,839.47,22.96,70.59,fresh_air
68.75,71.52,728.9,25.1,52.07,recirculation
72.32,143.34,911.59,32.16,69.51,fresh_air
90.89,88.14,1105.89,28.55,47.44,recirculation
9.89,30.0,920.51,30.05,56.74,fresh_air
87.33,121.12,459.03,25.43,55.46,recirculation
31.84,98.37,1269.84,31.37,68.56,fresh_air
26.56,97.24,1076.42,30.78,54.94,fresh_air
91.9,78.23,814.47,28.63,46.72,recirculation
18.57,79.65,1278.5,25.84,54.75,fresh_air
13.07,20.0,829.56,21.64,49.63,recirculation
67.77,117.15,1027.33,24.78,36.85,fresh_air
